transaction_id,invoice_num,premium,pay_transaction_date,pay_transaction_status
TXN-A9704578,INV-71A19AE3,466.67,2024-05-19,Paid
TXN-43BCDC80,INV-7854932E,466.67,2024-11-17,Paid
TXN-7B284275,INV-518EC7FE,466.67,2025-05-13,Paid
TXN-5940C919,INV-4B895EE4,1103.48,2026-01-01,Failed
TXN-57CB66E1,INV-4B895EE4,1103.48,2026-01-10,Paid
TXN-CC91FC00,INV-B2C9C311,1103.48,2026-04-02,Paid
TXN-2BDF3CD7,INV-1CAF870C,1103.48,2026-07-09,Paid
TXN-2D98EA0A,INV-4CA0FA73,772.31,2024-06-24,Paid
TXN-887CCA8E,INV-6120429A,772.31,2024-09-20,Paid
TXN-E232EBE8,INV-121F1E97,772.31,2024-12-23,Paid
TXN-3051C3CA,INV-AD380B0E,772.31,2025-03-16,Paid
TXN-7CB7267B,INV-8FEB168D,772.31,2025-06-13,Paid
TXN-EFF30A78,INV-45E9CAEC,473.75,2022-09-07,Paid
TXN-9D151003,INV-63478BCB,473.75,2022-10-14,Paid
TXN-3D39861F,INV-943E97DE,473.75,2022-11-05,Paid
TXN-BA994A0D,INV-A7121FF4,473.75,2022-12-12,Paid
TXN-BAAF8AE9,INV-42BF3302,473.75,2023-01-06,Paid
TXN-5E2AF8D0,INV-F40C038E,473.75,2023-02-03,Paid
TXN-579E5D50,INV-72BFB5DC,473.75,2023-03-11,Paid
TXN-B56F5B1E,INV-DBBBF28F,473.75,2023-04-07,Paid
TXN-EC3B4ED7,INV-14E5B2B0,473.75,2023-05-09,Paid
TXN-F5164D28,INV-25072711,473.75,2023-06-04,Paid
TXN-15428F58,INV-19CF9601,473.75,2023-07-04,Paid
TXN-17A0BF64,INV-C314FD9A,473.75,2023-08-02,Paid
TXN-BC6D6DB3,INV-3E9CACFD,473.75,2023-09-09,Paid
TXN-E9813FE7,INV-A68FEDA0,788.03,2023-12-01,Failed
TXN-6F4DBA1D,INV-A68FEDA0,788.03,2023-12-11,Paid
TXN-A5A12491,INV-BEB70C0F,788.03,2024-05-27,Paid
TXN-0C9DA2DB,INV-06FAF662,788.03,2024-11-27,Paid
TXN-A89C536B,INV-2B2256D5,620.97,2025-04-26,Paid
TXN-7766BD2D,INV-3CCD53BD,620.97,2025-05-30,Paid
TXN-D3F7DF52,INV-AA628D4C,620.97,2025-07-01,Failed
TXN-69D881AF,INV-D76F046F,620.97,2025-07-29,Paid
TXN-D0B4FFD8,INV-62F36C80,620.97,2025-10-29,Failed
TXN-26FBA303,INV-65C853A0,620.97,2026-02-22,Paid Late
TXN-433F5E77,INV-2D5FDB9D,620.97,2025-12-23,Paid
TXN-3D432483,INV-7A18A422,620.97,2026-01-24,Paid
TXN-A59CB47D,INV-5E4CBF4A,620.97,2026-02-15,Paid
TXN-376A2A14,INV-C4FC00D4,620.97,2026-04-22,Paid
TXN-BE1082CB,INV-C919B25A,352.41,2025-12-25,Paid
TXN-C2CBB5A5,INV-F1810F7F,352.41,2026-01-28,Paid
TXN-A4B1E6AF,INV-2009A6DF,352.41,2026-02-25,Failed
TXN-771C183F,INV-2009A6DF,352.41,2026-02-28,Paid
TXN-5602BF13,INV-40CE0CED,352.41,2026-03-23,Failed
TXN-21777E5E,INV-40CE0CED,352.41,2026-03-27,Paid
TXN-7C3F01A3,INV-AC34A58A,352.41,2026-04-23,Paid
TXN-C4392FFE,INV-5014598B,352.41,2026-05-28,Paid
TXN-8D3C00FB,INV-E4570B0E,352.41,2026-06-24,Paid
TXN-DDAEE1F7,INV-C078C22E,352.41,2026-07-20,Paid
TXN-6D114093,INV-74DF2C29,352.41,2026-08-26,Paid
TXN-A2C3B65F,INV-AB59D1E0,352.41,2026-09-23,Paid
TXN-1B92F06A,INV-83883285,739.77,2022-05-29,Paid
TXN-7A32F874,INV-8D174B11,739.77,2022-08-20,Paid
TXN-85A071C2,INV-7A0622A8,739.77,2022-11-20,Paid
TXN-407FA7A3,INV-2C6E7BB8,739.77,2023-02-20,Paid
TXN-978B1E6D,INV-EF8F45E9,739.77,2023-05-20,Paid
TXN-DB55EEAE,INV-F8ADFAAB,539.54,2024-11-23,Paid
TXN-EC826E20,INV-4EE6CC9F,539.54,2025-02-20,Paid
TXN-B97F2449,INV-F75FDD7A,539.54,2025-05-27,Paid
TXN-A6B96D80,INV-78BF7A9C,539.54,2025-08-17,Paid
TXN-4CB9D200,INV-C984546A,539.54,2025-11-21,Paid
TXN-1CD3FB1A,INV-BFBF9111,673.61,2023-03-17,Paid
TXN-849E7B1B,INV-D052FA81,673.61,2023-04-18,Paid
TXN-81889B1E,INV-688DFA10,673.61,2023-05-22,Paid
TXN-8EDC4BF3,INV-0206A1D9,673.61,2023-06-15,Paid
TXN-AC745938,INV-08875DA8,673.61,2023-07-18,Paid
TXN-C85E8E96,INV-F25F5C65,673.61,2023-08-24,Failed
TXN-A0595BFD,INV-4BB41CA1,673.61,2023-09-17,Paid
TXN-869DCCC2,INV-0144A4CA,673.61,2023-10-15,Paid
TXN-DE139844,INV-214CAC2D,673.61,2023-12-11,Paid
TXN-E1D4AC99,INV-A30DD817,673.61,2024-02-17,Paid Late
TXN-B6C48278,INV-B240B0B9,673.61,2024-02-11,Failed
TXN-DEB64F36,INV-B240B0B9,673.61,2024-02-20,Paid
TXN-C7D26EF9,INV-B913AF12,673.61,2024-03-18,Failed
TXN-48DE8C6D,INV-D17A061A,1583.61,2026-01-29,Paid
TXN-5D4080F0,INV-1ED6F7EF,1583.61,2026-07-23,Paid
TXN-355EA1FA,INV-3BDBCBA4,1322.6,2023-05-14,Paid
TXN-7677A898,INV-935F72AE,1322.6,2023-08-15,Paid
TXN-02276C98,INV-80C2E3EC,1322.6,2023-11-16,Paid
TXN-2905CED3,INV-8BAF2BE5,1322.6,2024-02-09,Paid
TXN-91D797C3,INV-8D7DDA21,1322.6,2024-05-12,Paid
TXN-54D8434B,INV-B7E1C8D5,1545.04,2024-07-15,Paid Late
TXN-77CE4B00,INV-FD37A335,1545.04,2024-05-15,Paid
TXN-C032868B,INV-50FEE7E8,1545.04,2024-06-20,Paid
TXN-22541A7F,INV-EE5C0083,1545.04,2024-07-14,Paid
TXN-CD720DBC,INV-CFB0ACD3,1545.04,2024-10-07,Paid Late
TXN-DDBCD6A0,INV-483AD0A4,1545.04,2024-09-12,Paid
TXN-CC295528,INV-C4321297,1545.04,2024-10-18,Paid
TXN-3EE93C5C,INV-E8D775AE,1545.04,2024-11-19,Paid
TXN-DE64FDAF,INV-DB4CBC88,1545.04,2024-12-16,Paid
TXN-9F644CC6,INV-234EFB15,1545.04,2025-01-15,Paid
TXN-2CD642E5,INV-322D9DCE,1545.04,2025-02-10,Paid
TXN-A1D66975,INV-BF3AF05C,1545.04,2025-03-12,Paid
TXN-E93580DA,INV-CB4525A9,1545.04,2025-04-16,Paid
TXN-8BA83E90,INV-A8E773D4,584.59,2025-09-12,Failed
TXN-6F90A8D5,INV-2A396077,584.59,2026-03-01,Paid Late
TXN-10EB1FA1,INV-48CFEB0F,584.59,2026-03-17,Paid
TXN-352CC7D9,INV-B8646FE0,584.59,2026-06-16,Failed
TXN-B4EA9D83,INV-B8646FE0,584.59,2026-06-23,Paid
TXN-BFBA1480,INV-D8075431,584.59,2026-09-13,Paid
TXN-DF39559A,INV-6A503811,1145.9,2024-04-30,Paid
TXN-30D55C5B,INV-81BA93EE,1145.9,2024-10-31,Failed
TXN-20F5FD29,INV-2AF6A49E,1177.2,2022-04-28,Paid
TXN-58B178AA,INV-353E7012,1630.08,2022-08-21,Paid
TXN-47E0EB5D,INV-832B6755,1630.08,2022-09-17,Paid
TXN-0AC4D00D,INV-49A49C92,1630.08,2022-12-27,Paid Late
TXN-3B2EF063,INV-B410E0DE,1630.08,2022-11-15,Paid
TXN-C4A095C3,INV-9AE7E7BC,1630.08,2022-12-16,Paid
TXN-A37CE4E2,INV-88752606,1630.08,2023-01-10,Paid
TXN-3E5F8282,INV-858FB85D,1630.08,2023-02-13,Paid
TXN-59227F6D,INV-5D954B18,1630.08,2023-03-18,Paid
TXN-8288D0C8,INV-3512676D,1630.08,2023-04-19,Paid
TXN-DAD7E39D,INV-93A0B4CE,1630.08,2023-06-10,Failed
TXN-475DC818,INV-93A0B4CE,1630.08,2023-06-16,Paid
TXN-E53F427F,INV-810E17CD,1630.08,2023-07-09,Paid
TXN-6A196C0F,INV-E3D18457,1630.08,2023-08-11,Paid
TXN-2916885D,INV-0E8A2E99,1418.7,2023-02-01,Paid
TXN-9FF0FC72,INV-C4946B54,1418.7,2023-04-28,Paid
TXN-65B88C8F,INV-DA402CDD,1418.7,2023-08-03,Paid
TXN-91FB0546,INV-BA6DB14B,1418.7,2023-10-28,Paid
TXN-F0F5E79F,INV-A4F41BFD,1418.7,2024-02-20,Paid Late
TXN-C70BD1C2,INV-D53BAABE,1147.93,2024-05-20,Failed
TXN-48B8EB21,INV-0685D7B5,1147.93,2024-08-22,Failed
TXN-E3470A69,INV-1FD90568,247.12,2022-06-12,Failed
TXN-896D194B,INV-7ED6733E,247.12,2022-12-02,Paid
TXN-A908A6B3,INV-B16E3475,247.12,2023-06-03,Paid
TXN-1DC1162B,INV-C308D3F3,1339.66,2022-04-15,Paid
TXN-CBA5FD96,INV-F52E89CA,1339.66,2022-10-12,Paid
TXN-B138C510,INV-C3FCA0F3,1339.66,2023-04-19,Paid
TXN-F2243588,INV-C79F8D1A,1432.8,2022-07-14,Paid
TXN-6D84C256,INV-21A8BC9B,1432.8,2022-08-13,Paid
TXN-CF6D84FF,INV-5EDD1539,1432.8,2022-12-06,Paid Late
TXN-36CF5EF2,INV-4A548C0F,1432.8,2022-10-10,Paid
TXN-00C6CFA2,INV-EABCBC11,1432.8,2022-11-18,Paid
TXN-FFC67FD9,INV-91445F8B,1432.8,2022-12-11,Paid
TXN-0FF3F6B3,INV-3E95CB68,1432.8,2023-01-16,Paid
TXN-4A120479,INV-73990954,1432.8,2023-02-08,Paid
TXN-828D3E8A,INV-9BB782ED,1432.8,2023-03-15,Paid
TXN-76206E3C,INV-A7B6CDA8,1432.8,2023-04-13,Paid
TXN-4B1B4D95,INV-9BBE8D00,1432.8,2023-05-10,Paid
TXN-25C9FAC2,INV-B5F96B91,1432.8,2023-06-18,Failed
TXN-5DDEF19D,INV-B4D5F2DD,1432.8,2023-07-14,Paid
TXN-8172F11A,INV-31F22F08,103.94,2024-04-15,Failed
TXN-120E96E2,INV-4F4E93B2,103.94,2024-05-27,Failed
TXN-0FCB2939,INV-AE38B473,103.94,2024-10-28,Paid Late
TXN-6E7A2256,INV-8978B262,103.94,2024-09-21,Failed
TXN-5FD56FB6,INV-E0E9B687,103.94,2025-01-31,Paid Late
TXN-D83F7138,INV-F4C5E204,103.94,2024-11-18,Paid
TXN-04B4A860,INV-DB85EF34,103.94,2024-12-21,Failed
TXN-CA8A4613,INV-A8927223,103.94,2025-01-17,Paid
TXN-027EB5E2,INV-CF9C84D0,103.94,2025-02-19,Failed
TXN-3C7C6CCE,INV-08E0E797,103.94,2025-03-18,Failed
TXN-4ED190AD,INV-4244EBFF,320.42,2022-05-07,Paid
TXN-AF2E96D1,INV-EA3C5755,320.42,2022-08-03,Paid
TXN-20FF93CB,INV-113E4833,320.42,2022-11-03,Paid
TXN-C7575634,INV-85792C78,320.42,2023-01-28,Paid
TXN-3E18AE4D,INV-73B40821,320.42,2023-05-02,Paid
TXN-B997DFD2,INV-AEEFFB5D,1277.95,2022-01-10,Paid
TXN-856845D0,INV-AB09F1B0,1277.95,2022-04-07,Paid
TXN-958F8073,INV-77914810,1277.95,2022-07-06,Paid
TXN-927F5D60,INV-928B3DB7,1277.95,2022-10-03,Paid
TXN-93349011,INV-8B68BDFE,1277.95,2023-01-07,Paid
TXN-215352C5,INV-8D434286,136.27,2023-11-05,Paid Late
TXN-C0B20360,INV-93B88D02,136.27,2024-02-11,Paid
TXN-9D8DF6A8,INV-962B4D75,136.27,2024-08-09,Paid
TXN-6D5EC943,INV-BD9F5074,1767.2,2026-02-13,Paid
TXN-1F0F3C16,INV-012E32AF,1767.2,2026-08-14,Paid
TXN-D046AA1D,INV-35512BF2,554.52,2022-11-18,Paid
TXN-800833A8,INV-CDD24658,554.52,2023-02-14,Paid
TXN-C8380D64,INV-B52E1E4B,554.52,2023-05-14,Paid
TXN-441680B2,INV-F8910590,554.52,2023-08-17,Paid
TXN-9A978F7A,INV-D4695D6C,554.52,2023-11-11,Paid
TXN-D4598719,INV-C3C1BAF0,1780.77,2023-03-25,Paid
TXN-FBF6DD2E,INV-E3307607,1780.77,2023-09-21,Paid
TXN-6727E9E1,INV-851460D2,1780.77,2024-03-25,Paid
TXN-E762E673,INV-0FD2A7E6,1478.45,2026-05-21,Failed
TXN-65581FBE,INV-5EC30DC4,1478.45,2026-07-21,Failed
TXN-773BF2C2,INV-7D4AA34A,269.07,2024-10-29,Failed
TXN-7EF8A492,INV-7D4AA34A,269.07,2024-11-06,Paid
TXN-5FA00540,INV-3B4AFE1F,269.07,2025-04-28,Paid
TXN-7559AB9A,INV-1BFB543A,269.07,2025-10-30,Paid
TXN-1ECCDAF9,INV-97FFDB6B,379.7,2023-03-13,Paid Late
TXN-6843D5CF,INV-CBC692D4,379.7,2023-05-23,Paid
TXN-7D0CFB40,INV-46D4B1AB,379.7,2023-11-16,Paid
TXN-422505C3,INV-F0E643FA,851.03,2023-01-26,Paid
TXN-21487ED8,INV-445A6CFC,851.03,2023-02-23,Failed
TXN-AABF3794,INV-445A6CFC,851.03,2023-03-03,Paid
TXN-01D03855,INV-DD914777,851.03,2023-03-19,Paid
TXN-3036A09C,INV-9665D7BB,851.03,2023-04-27,Failed
TXN-297C3CA9,INV-38B3AB68,1186.55,2024-04-10,Paid
TXN-0E08FC48,INV-81CC9327,1186.55,2024-10-08,Paid
TXN-3A676C80,INV-1A7F43B0,1305.33,2025-04-02,Paid
TXN-3393CFA7,INV-FF5C3482,1305.33,2025-05-07,Paid
TXN-5E6797B1,INV-551548C9,1305.33,2025-06-04,Paid
TXN-A3420E6F,INV-D618C7B1,1305.33,2025-07-08,Paid
TXN-9CA1664A,INV-CECD6A20,1305.33,2025-08-04,Paid
TXN-54B91CEB,INV-9FFF9F1D,1305.33,2025-09-03,Failed
TXN-2B45840B,INV-9FFF9F1D,1305.33,2025-09-06,Paid
TXN-CFAFB86A,INV-20A03A74,1305.33,2025-10-05,Paid
TXN-5088F8BC,INV-FC3613E2,1305.33,2025-11-01,Paid
TXN-48BB3B6A,INV-68590E64,1305.33,2026-03-01,Paid Late
TXN-F598A7CA,INV-0B41A5C2,1305.33,2026-04-17,Paid Late
TXN-1DFD1AAB,INV-08AD4897,1305.33,2026-01-31,Paid
TXN-F822E170,INV-629C11F9,1305.33,2026-03-03,Failed
TXN-1863D3AA,INV-49E6B4B5,1305.33,2026-05-13,Paid Late
TXN-6F36A3E6,INV-D715F8C0,791.76,2024-05-15,Paid
TXN-B5945A67,INV-DB297100,791.76,2024-11-13,Failed
TXN-0A33236D,INV-5B971C94,1720.18,2025-10-07,Paid
TXN-3EA47691,INV-CFB55E4A,1720.18,2026-01-03,Paid
TXN-BE3C79FB,INV-7BF25206,1720.18,2026-04-02,Paid
TXN-D631F732,INV-32D2CB16,1720.18,2026-07-09,Paid
TXN-7BBC9FDF,INV-0C79AA43,1476.24,2023-07-09,Failed
TXN-FC884147,INV-95FA3681,1476.24,2023-08-05,Paid
TXN-D704050C,INV-22B262AD,1476.24,2023-08-30,Paid
TXN-F7ACED5C,INV-29A2B1E4,1476.24,2023-10-29,Failed
TXN-67366997,INV-29A2B1E4,1476.24,2023-11-02,Paid
TXN-DB052726,INV-8225E6BF,1476.24,2023-12-28,Paid
TXN-0F8E0408,INV-0C887AF9,1476.24,2024-01-29,Failed
TXN-89DDB799,INV-0C887AF9,1476.24,2024-02-02,Paid
TXN-0005A9A9,INV-E06C1510,1476.24,2024-03-03,Paid
TXN-7790BC35,INV-8F2F424B,1476.24,2024-03-30,Paid
TXN-6057661A,INV-D64645D8,1476.24,2024-05-02,Failed
TXN-9BD79C1A,INV-D64645D8,1476.24,2024-05-05,Paid
TXN-1EFB2F02,INV-0FCA5795,1476.24,2024-06-02,Failed
TXN-4E73FD68,INV-F4144969,1476.24,2024-06-24,Failed
TXN-86BF27FE,INV-F4144969,1476.24,2024-06-29,Paid
TXN-FF2A1796,INV-5B006872,1067.45,2024-08-04,Failed
TXN-6633BA2B,INV-53D1D106,1067.45,2024-10-25,Failed
TXN-137602DC,INV-F3826B44,1067.45,2025-03-03,Failed
TXN-F56E0491,INV-744410E8,1054.07,2022-01-25,Paid
TXN-4F3069B0,INV-F3ADD30E,1054.07,2022-07-29,Failed
TXN-677A9493,INV-17312396,237.82,2022-08-01,Paid Late
TXN-F3906CCD,INV-CD3B6DA8,237.82,2022-07-06,Paid
TXN-176BA31E,INV-13F9FE06,237.82,2022-09-30,Paid Late
TXN-A6B562E8,INV-0C91BE88,237.82,2022-12-27,Paid Late
TXN-8EEEDE6D,INV-536AA5E2,237.82,2022-10-04,Paid
TXN-E4C051AD,INV-9646254E,237.82,2022-11-02,Paid
TXN-24082FF2,INV-919C2ACD,237.82,2022-12-05,Paid
TXN-2FF4A099,INV-F1BE17EC,237.82,2023-01-07,Failed
TXN-00A76F90,INV-F1BE17EC,237.82,2023-01-13,Paid
TXN-06807834,INV-126C13A0,237.82,2023-02-03,Paid
TXN-ADF1EB6C,INV-D13AC2F5,237.82,2023-03-03,Failed
TXN-4FDDE44D,INV-D13AC2F5,237.82,2023-03-12,Paid
TXN-BFBA5035,INV-3417F0B9,237.82,2023-06-28,Paid Late
TXN-6035ABD8,INV-F329585E,237.82,2023-04-30,Paid
TXN-F1AADECC,INV-78CF70C3,237.82,2023-06-02,Failed
TXN-659252F8,INV-518FB85F,1247.0,2022-12-31,Failed
TXN-302988C9,INV-518FB85F,1247.0,2023-01-09,Paid
TXN-9B097874,INV-9AD9FCE5,1247.0,2023-03-26,Paid Late
TXN-223D5F23,INV-08972619,1247.0,2023-03-08,Failed
TXN-FDBE29A8,INV-08972619,1247.0,2023-03-14,Paid
TXN-8DD025D4,INV-F70F6479,1247.0,2023-04-28,Failed
TXN-F686C6AF,INV-2E08776D,1247.0,2023-06-11,Failed
TXN-F5E60D98,INV-5AED9255,733.96,2024-02-02,Paid
TXN-16399AC3,INV-0CC68864,762.96,2025-08-09,Paid Late
TXN-26868BE7,INV-8D7A137C,762.96,2026-01-10,Paid Late
TXN-2EA568EE,INV-EBF324A4,762.96,2026-06-11,Paid
TXN-DE259F73,INV-92BF7124,818.37,2024-12-27,Paid
TXN-60CEC489,INV-0428D9C1,818.37,2025-07-29,Paid Late
TXN-449D28CA,INV-85DBEDC4,818.37,2025-12-19,Paid
TXN-91A218B7,INV-21C7978D,375.62,2025-12-12,Paid Late
TXN-4894545F,INV-CA9F8056,375.62,2025-10-21,Paid
TXN-E475DC25,INV-FA63F2EE,375.62,2025-11-22,Paid
TXN-F61ABD93,INV-79673008,375.62,2026-01-01,Failed
TXN-4EF787A6,INV-3A3AD388,375.62,2026-01-29,Failed
TXN-BB714A21,INV-3A3AD388,375.62,2026-02-04,Paid
TXN-630145B8,INV-79DE7A03,375.62,2026-02-24,Paid
TXN-92F2A26A,INV-6DD70A17,375.62,2026-03-20,Paid
TXN-BC7B0CCE,INV-F2F722D6,375.62,2026-04-21,Paid
TXN-B3776606,INV-6AF7C6D7,375.62,2026-09-05,Paid Late
TXN-575ED569,INV-817020AD,375.62,2026-06-21,Failed
TXN-97C8407C,INV-817020AD,375.62,2026-06-28,Paid
TXN-57D8C39A,INV-AD119B21,375.62,2026-10-08,Paid Late
TXN-B5641221,INV-D986D96F,375.62,2026-11-28,Paid Late
TXN-D5DFA897,INV-943E0083,375.62,2026-09-29,Failed
TXN-57B24D02,INV-943E0083,375.62,2026-10-06,Paid
TXN-1F9A1CF0,INV-CC853BEE,256.82,2023-07-01,Paid
TXN-9ABA5ED0,INV-C2930285,256.82,2023-11-20,Paid Late
TXN-749F9D79,INV-8DFE28BB,256.82,2023-12-12,Paid Late
TXN-00ACC82B,INV-8FF1C1F5,256.82,2023-10-03,Paid
TXN-85924D60,INV-4C9B43C2,256.82,2024-01-01,Failed
TXN-AA402808,INV-407CACF0,256.82,2024-05-01,Paid Late
TXN-E3A7755C,INV-B748FA9F,256.82,2024-05-07,Paid Late
TXN-ED897962,INV-B83FAD0C,256.82,2024-03-27,Paid
TXN-FC608C37,INV-2274F79C,256.82,2024-07-18,Paid Late
TXN-5D9A9C9F,INV-AB226665,256.82,2024-05-26,Paid
TXN-D60806EB,INV-6019F964,256.82,2024-06-29,Paid
TXN-B94EB561,INV-27FD365C,874.2,2023-07-13,Paid
TXN-7B37A58A,INV-59C98A1E,874.2,2024-01-18,Paid
TXN-2C6E32A5,INV-A592FB55,874.2,2024-07-12,Paid
TXN-5EC12C0E,INV-6EA70ADF,1137.81,2026-01-10,Paid
TXN-E5670604,INV-33770160,1137.81,2026-02-13,Paid
TXN-4636CE8C,INV-A8D5B20B,1137.81,2026-03-17,Paid
TXN-A3DBD8BE,INV-AB521500,1137.81,2026-04-10,Paid
TXN-E1D5872C,INV-529627ED,1137.81,2026-05-19,Paid
TXN-400CAF02,INV-8C0789E0,1137.81,2026-06-14,Paid
TXN-7A8F41CE,INV-FCC3DAE9,1137.81,2026-07-12,Paid
TXN-401F673A,INV-4E8274A8,1137.81,2026-08-15,Paid
TXN-302D9F86,INV-1883B2CE,1137.81,2026-10-28,Paid Late
TXN-598F7205,INV-88195A2C,947.82,2024-11-06,Paid
TXN-9F42A415,INV-4627BF31,947.82,2025-02-08,Paid
TXN-47F8F4D4,INV-840CD3E2,947.82,2025-05-02,Paid
TXN-BD1BBEAA,INV-DD91944B,947.82,2025-08-03,Paid
TXN-7C7B3B34,INV-3A8AA84E,947.82,2025-11-05,Paid
TXN-9E576413,INV-701C78E9,783.08,2022-04-18,Paid
TXN-38A90E9F,INV-4138FA22,783.08,2023-02-08,Paid Late
TXN-76AA9BCD,INV-BD1E59CA,783.08,2023-04-12,Paid
TXN-8A544779,INV-A21917DC,647.07,2023-07-25,Paid
TXN-89BC8D76,INV-F8D283FC,647.07,2023-08-25,Paid
TXN-E7484D71,INV-8BD497BE,647.07,2023-09-25,Paid
TXN-F184CF7A,INV-F270F78C,647.07,2023-10-29,Paid
TXN-6923D917,INV-152FBEBE,647.07,2023-11-20,Paid
TXN-49531692,INV-6D672EF3,647.07,2023-12-28,Paid
TXN-313BFB7C,INV-6C4DA512,647.07,2024-01-27,Paid
TXN-CC15E280,INV-AD882BDA,647.07,2024-02-20,Paid
TXN-FA717018,INV-43F126A0,647.07,2024-03-24,Paid
TXN-64C4034C,INV-25167A9D,647.07,2024-04-23,Paid
TXN-959166CD,INV-A1DFC883,647.07,2024-05-19,Paid
TXN-B5BA4BDC,INV-828E1A59,647.07,2024-06-19,Paid
TXN-8A8F63C6,INV-41D45D04,647.07,2024-07-25,Paid
TXN-386FEDDB,INV-5810FF85,1795.12,2023-11-23,Paid
TXN-C3CEE4FF,INV-E7D08DC0,1795.12,2023-12-18,Paid
TXN-91AABC47,INV-B06AFF7E,1795.12,2024-01-22,Paid
TXN-999F04CA,INV-60911167,1795.12,2024-02-16,Paid
TXN-97BF0F93,INV-924C3BD4,1795.12,2024-03-15,Paid
TXN-F52D8161,INV-2D83DC20,1795.12,2024-04-18,Paid
TXN-289FF9ED,INV-A7D7FD42,1795.12,2024-05-16,Paid
TXN-FE328458,INV-6531E1F2,1795.12,2024-06-15,Paid
TXN-0BCCCD0F,INV-FFB9DC97,1795.12,2024-07-14,Paid
TXN-CD76C9AB,INV-89F44328,1795.12,2024-08-18,Paid
TXN-C550D62C,INV-55FF2B50,1795.12,2024-09-17,Paid
TXN-5C489CB8,INV-6D012002,1795.12,2024-10-18,Paid
TXN-FE7BC9EC,INV-8A0DFB17,1795.12,2024-11-10,Paid
TXN-6FB69212,INV-7530B1A9,305.4,2022-12-03,Paid
TXN-D69392B7,INV-1E7FB241,305.4,2023-06-24,Paid Late
TXN-76EB60B9,INV-A5C88F50,305.4,2023-06-04,Paid
TXN-3FE5F12D,INV-418F51EE,305.4,2023-08-25,Paid
TXN-3417A365,INV-82DE2B7E,305.4,2023-11-26,Paid
TXN-202F1631,INV-1EEEB02C,1317.69,2025-02-09,Paid
TXN-2475AC2B,INV-D594E853,1317.69,2025-05-06,Paid
TXN-82F2D1D1,INV-C437CDA1,1317.69,2025-08-12,Paid
TXN-9633D74A,INV-42A635FE,1317.69,2025-11-02,Paid
TXN-192CA401,INV-D0D372B7,1317.69,2026-02-03,Paid
