policy_num,invoice_num,invoice_type,invoice_start_date,invoice_end_date,days_arrears_allowed,installment_num,premium
POL-7829B280,INV-C314FD9A,Premium,2023-08-01,2023-08-31,30,12,473.75
POL-7829B280,INV-3E9CACFD,Adjustment,2023-08-31,2023-09-05,60,13,473.75
POL-CB397C4B,INV-A68FEDA0,Premium,2023-11-24,2024-05-22,90,1,788.03
POL-CB397C4B,INV-BEB70C0F,Adjustment,2024-05-22,2024-11-18,90,2,788.03
POL-CB397C4B,INV-06FAF662,Premium,2024-11-18,2024-11-23,30,3,788.03
POL-ADAC7E1D,INV-2B2256D5,Premium,2025-04-20,2025-05-20,60,1,620.97
POL-ADAC7E1D,INV-3CCD53BD,Adjustment,2025-05-20,2025-06-19,30,2,620.97
POL-ADAC7E1D,INV-AA628D4C,Premium,2025-06-19,2025-07-19,90,3,620.97
POL-ADAC7E1D,INV-D76F046F,Premium,2025-07-19,2025-08-18,30,4,620.97
POL-ADAC7E1D,INV-7637C21D,Premium,2025-08-18,2025-09-17,60,5,620.97
POL-ADAC7E1D,INV-673DC6C4,Premium,2025-09-17,2025-10-17,60,6,620.97
POL-ADAC7E1D,INV-62F36C80,Premium,2025-10-17,2025-11-16,30,7,620.97
POL-ADAC7E1D,INV-65C853A0,Premium,2025-11-16,2025-12-16,90,8,620.97
POL-ADAC7E1D,INV-2D5FDB9D,Premium,2025-12-16,2026-01-15,60,9,620.97
POL-ADAC7E1D,INV-7A18A422,Premium,2026-01-15,2026-02-14,90,10,620.97
POL-ADAC7E1D,INV-5E4CBF4A,Premium,2026-02-14,2026-03-16,30,11,620.97
POL-ADAC7E1D,INV-2325765D,Refund,2026-03-16,2026-04-15,90,12,620.97
POL-ADAC7E1D,INV-C4FC00D4,Premium,2026-04-15,2026-04-20,90,13,620.97
POL-680014F5,INV-C919B25A,Premium,2025-12-20,2026-01-19,90,1,352.41
POL-680014F5,INV-F1810F7F,Premium,2026-01-19,2026-02-18,30,2,352.41
POL-680014F5,INV-2009A6DF,Refund,2026-02-18,2026-03-20,30,3,352.41
POL-680014F5,INV-40CE0CED,Premium,2026-03-20,2026-04-19,30,4,352.41
POL-680014F5,INV-AC34A58A,Premium,2026-04-19,2026-05-19,30,5,352.41
POL-680014F5,INV-5014598B,Premium,2026-05-19,2026-06-18,90,6,352.41
POL-680014F5,INV-E4570B0E,Premium,2026-06-18,2026-07-18,90,7,352.41
POL-680014F5,INV-C078C22E,Premium,2026-07-18,2026-08-17,60,8,352.41
POL-680014F5,INV-74DF2C29,Refund,2026-08-17,2026-09-16,30,9,352.41
POL-680014F5,INV-AB59D1E0,Premium,2026-09-16,2026-10-16,30,10,352.41
POL-5357FF89,INV-83883285,Adjustment,2022-05-19,2022-08-17,90,1,739.77
POL-5357FF89,INV-8D174B11,Premium,2022-08-17,2022-11-15,30,2,739.77
POL-5357FF89,INV-7A0622A8,Adjustment,2022-11-15,2023-02-13,60,3,739.77
POL-5357FF89,INV-2C6E7BB8,Premium,2023-02-13,2023-05-14,60,4,739.77
POL-5357FF89,INV-EF8F45E9,Premium,2023-05-14,2023-05-19,90,5,739.77
POL-49E5E23A,INV-F8ADFAAB,Premium,2024-11-18,2025-02-16,90,1,539.54
POL-49E5E23A,INV-4EE6CC9F,Premium,2025-02-16,2025-05-17,90,2,539.54
POL-49E5E23A,INV-F75FDD7A,Premium,2025-05-17,2025-08-15,90,3,539.54
POL-49E5E23A,INV-78BF7A9C,Premium,2025-08-15,2025-11-13,30,4,539.54
POL-49E5E23A,INV-C984546A,Premium,2025-11-13,2025-11-18,60,5,539.54
POL-41C1AD30,INV-BFBF9111,Premium,2023-03-15,2023-04-14,90,1,673.61
POL-41C1AD30,INV-D052FA81,Premium,2023-04-14,2023-05-14,60,2,673.61
POL-41C1AD30,INV-688DFA10,Adjustment,2023-05-14,2023-06-13,90,3,673.61
POL-41C1AD30,INV-0206A1D9,Premium,2023-06-13,2023-07-13,60,4,673.61
POL-41C1AD30,INV-08875DA8,Premium,2023-07-13,2023-08-12,60,5,673.61
POL-41C1AD30,INV-F25F5C65,Premium,2023-08-12,2023-09-11,90,6,673.61
POL-41C1AD30,INV-4BB41CA1,Premium,2023-09-11,2023-10-11,60,7,673.61
POL-41C1AD30,INV-0144A4CA,Premium,2023-10-11,2023-11-10,90,8,673.61
POL-41C1AD30,INV-68DC06C6,Premium,2023-11-10,2023-12-10,90,9,673.61
POL-41C1AD30,INV-214CAC2D,Refund,2023-12-10,2024-01-09,60,10,673.61
POL-41C1AD30,INV-A30DD817,Adjustment,2024-01-09,2024-02-08,30,11,673.61
POL-41C1AD30,INV-B240B0B9,Premium,2024-02-08,2024-03-09,90,12,673.61
POL-41C1AD30,INV-B913AF12,Premium,2024-03-09,2024-03-14,30,13,673.61
POL-BE4ECF32,INV-D17A061A,Premium,2026-01-21,2026-07-20,90,1,1583.61
POL-BE4ECF32,INV-1ED6F7EF,Adjustment,2026-07-20,2027-01-16,30,2,1583.61
POL-286DB366,INV-3BDBCBA4,Premium,2023-05-13,2023-08-11,90,1,1322.6
POL-286DB366,INV-935F72AE,Adjustment,2023-08-11,2023-11-09,30,2,1322.6
POL-286DB366,INV-80C2E3EC,Premium,2023-11-09,2024-02-07,60,3,1322.6
POL-286DB366,INV-8BAF2BE5,Premium,2024-02-07,2024-05-07,90,4,1322.6
POL-286DB366,INV-8D7DDA21,Premium,2024-05-07,2024-05-12,30,5,1322.6
POL-3C9FF59C,INV-B7E1C8D5,Adjustment,2024-04-13,2024-05-13,90,1,1545.04
POL-3C9FF59C,INV-FD37A335,Premium,2024-05-13,2024-06-12,60,2,1545.04
POL-3C9FF59C,INV-50FEE7E8,Premium,2024-06-12,2024-07-12,60,3,1545.04
POL-3C9FF59C,INV-EE5C0083,Adjustment,2024-07-12,2024-08-11,30,4,1545.04
POL-3C9FF59C,INV-CFB0ACD3,Premium,2024-08-11,2024-09-10,30,5,1545.04
POL-3C9FF59C,INV-483AD0A4,Premium,2024-09-10,2024-10-10,60,6,1545.04
POL-3C9FF59C,INV-C4321297,Refund,2024-10-10,2024-11-09,90,7,1545.04
POL-3C9FF59C,INV-E8D775AE,Premium,2024-11-09,2024-12-09,30,8,1545.04
POL-3C9FF59C,INV-DB4CBC88,Premium,2024-12-09,2025-01-08,90,9,1545.04
POL-3C9FF59C,INV-234EFB15,Adjustment,2025-01-08,2025-02-07,60,10,1545.04
POL-3C9FF59C,INV-322D9DCE,Premium,2025-02-07,2025-03-09,60,11,1545.04
POL-3C9FF59C,INV-BF3AF05C,Adjustment,2025-03-09,2025-04-08,30,12,1545.04
POL-3C9FF59C,INV-CB4525A9,Premium,2025-04-08,2025-04-13,30,13,1545.04
POL-51A8C096,INV-A8E773D4,Premium,2025-09-11,2025-12-10,30,1,584.59
POL-51A8C096,INV-2A396077,Premium,2025-12-10,2026-03-10,60,2,584.59
POL-51A8C096,INV-48CFEB0F,Premium,2026-03-10,2026-06-08,30,3,584.59
POL-51A8C096,INV-B8646FE0,Premium,2026-06-08,2026-09-06,30,4,584.59
POL-51A8C096,INV-D8075431,Premium,2026-09-06,2026-09-11,60,5,584.59
POL-6AAC4FDC,INV-6A503811,Premium,2024-04-21,2024-10-18,90,1,1145.9
POL-6AAC4FDC,INV-81BA93EE,Premium,2024-10-18,2025-04-16,60,2,1145.9
POL-AB88208D,INV-2AF6A49E,Premium,2022-04-21,2022-07-20,90,1,1177.2
POL-AB88208D,INV-BD0D62C9,Premium,2022-07-20,2022-10-18,60,2,1177.2
POL-3EDF4634,INV-353E7012,Premium,2022-08-12,2022-09-11,30,1,1630.08
POL-3EDF4634,INV-832B6755,Premium,2022-09-11,2022-10-11,60,2,1630.08
POL-3EDF4634,INV-49A49C92,Refund,2022-10-11,2022-11-10,60,3,1630.08
POL-3EDF4634,INV-B410E0DE,Premium,2022-11-10,2022-12-10,60,4,1630.08
POL-3EDF4634,INV-9AE7E7BC,Premium,2022-12-10,2023-01-09,60,5,1630.08
POL-3EDF4634,INV-88752606,Premium,2023-01-09,2023-02-08,30,6,1630.08
POL-3EDF4634,INV-858FB85D,Refund,2023-02-08,2023-03-10,60,7,1630.08
POL-3EDF4634,INV-5D954B18,Premium,2023-03-10,2023-04-09,60,8,1630.08
POL-3EDF4634,INV-3512676D,Premium,2023-04-09,2023-05-09,90,9,1630.08
POL-3EDF4634,INV-F30FA10D,Premium,2023-05-09,2023-06-08,90,10,1630.08
POL-3EDF4634,INV-93A0B4CE,Premium,2023-06-08,2023-07-08,90,11,1630.08
POL-3EDF4634,INV-810E17CD,Premium,2023-07-08,2023-08-07,30,12,1630.08
POL-3EDF4634,INV-E3D18457,Premium,2023-08-07,2023-08-12,90,13,1630.08
POL-63538083,INV-0E8A2E99,Refund,2023-01-25,2023-04-25,90,1,1418.7
POL-63538083,INV-C4946B54,Premium,2023-04-25,2023-07-24,60,2,1418.7
POL-63538083,INV-DA402CDD,Premium,2023-07-24,2023-10-22,30,3,1418.7
POL-63538083,INV-BA6DB14B,Premium,2023-10-22,2024-01-20,60,4,1418.7
POL-63538083,INV-A4F41BFD,Premium,2024-01-20,2024-01-25,30,5,1418.7
POL-16E86406,INV-D53BAABE,Premium,2024-05-14,2024-08-12,90,1,1147.93
POL-16E86406,INV-0685D7B5,Premium,2024-08-12,2024-11-10,90,2,1147.93
POL-16E86406,INV-F5021DA7,Premium,2024-11-10,2025-02-08,90,3,1147.93
POL-C250D19B,INV-1FD90568,Premium,2022-06-04,2022-12-01,30,1,247.12
POL-C250D19B,INV-7ED6733E,Premium,2022-12-01,2023-05-30,60,2,247.12
POL-C250D19B,INV-B16E3475,Premium,2023-05-30,2023-06-04,60,3,247.12
POL-8416CF21,INV-C308D3F3,Premium,2022-04-14,2022-10-11,60,1,1339.66
POL-8416CF21,INV-F52E89CA,Premium,2022-10-11,2023-04-09,60,2,1339.66
POL-8416CF21,INV-C3FCA0F3,Premium,2023-04-09,2023-04-14,30,3,1339.66
POL-487F7143,INV-C79F8D1A,Adjustment,2022-07-11,2022-08-10,60,1,1432.8
POL-487F7143,INV-21A8BC9B,Premium,2022-08-10,2022-09-09,60,2,1432.8
POL-487F7143,INV-5EDD1539,Premium,2022-09-09,2022-10-09,60,3,1432.8
POL-487F7143,INV-4A548C0F,Adjustment,2022-10-09,2022-11-08,60,4,1432.8
POL-487F7143,INV-EABCBC11,Adjustment,2022-11-08,2022-12-08,60,5,1432.8
POL-487F7143,INV-91445F8B,Premium,2022-12-08,2023-01-07,60,6,1432.8
POL-487F7143,INV-3E95CB68,Premium,2023-01-07,2023-02-06,60,7,1432.8
POL-487F7143,INV-73990954,Adjustment,2023-02-06,2023-03-08,30,8,1432.8
POL-487F7143,INV-9BB782ED,Premium,2023-03-08,2023-04-07,30,9,1432.8
POL-487F7143,INV-A7B6CDA8,Adjustment,2023-04-07,2023-05-07,90,10,1432.8
POL-487F7143,INV-9BBE8D00,Premium,2023-05-07,2023-06-06,60,11,1432.8
POL-487F7143,INV-B5F96B91,Adjustment,2023-06-06,2023-07-06,90,12,1432.8
POL-487F7143,INV-B4D5F2DD,Premium,2023-07-06,2023-07-11,60,13,1432.8
POL-9AE6C85E,INV-31F22F08,Premium,2024-04-12,2024-05-12,60,1,103.94
POL-9AE6C85E,INV-4F4E93B2,Premium,2024-05-12,2024-06-11,90,2,103.94
POL-9AE6C85E,INV-0394314F,Premium,2024-06-11,2024-07-11,90,3,103.94
POL-9AE6C85E,INV-AE38B473,Premium,2024-07-11,2024-08-10,90,4,103.94
POL-9AE6C85E,INV-296BD8A3,Adjustment,2024-08-10,2024-09-09,30,5,103.94
POL-9AE6C85E,INV-8978B262,Premium,2024-09-09,2024-10-09,60,6,103.94
POL-9AE6C85E,INV-E0E9B687,Premium,2024-10-09,2024-11-08,90,7,103.94
POL-9AE6C85E,INV-F4C5E204,Premium,2024-11-08,2024-12-08,90,8,103.94
POL-9AE6C85E,INV-DB85EF34,Premium,2024-12-08,2025-01-07,30,9,103.94
POL-9AE6C85E,INV-A8927223,Premium,2025-01-07,2025-02-06,60,10,103.94
POL-9AE6C85E,INV-CF9C84D0,Adjustment,2025-02-06,2025-03-08,60,11,103.94
POL-9AE6C85E,INV-08E0E797,Premium,2025-03-08,2025-04-07,30,12,103.94
POL-44928616,INV-4244EBFF,Adjustment,2022-05-01,2022-07-30,60,1,320.42
POL-44928616,INV-EA3C5755,Refund,2022-07-30,2022-10-28,30,2,320.42
POL-44928616,INV-113E4833,Premium,2022-10-28,2023-01-26,90,3,320.42
POL-44928616,INV-85792C78,Premium,2023-01-26,2023-04-26,60,4,320.42
POL-44928616,INV-73B40821,Premium,2023-04-26,2023-05-01,90,5,320.42
POL-52BDA1E9,INV-AEEFFB5D,Premium,2022-01-05,2022-04-05,90,1,1277.95
POL-52BDA1E9,INV-AB09F1B0,Premium,2022-04-05,2022-07-04,30,2,1277.95
POL-52BDA1E9,INV-77914810,Adjustment,2022-07-04,2022-10-02,90,3,1277.95
POL-52BDA1E9,INV-928B3DB7,Premium,2022-10-02,2022-12-31,60,4,1277.95
POL-52BDA1E9,INV-8B68BDFE,Premium,2022-12-31,2023-01-05,60,5,1277.95
POL-8A209A7A,INV-8D434286,Premium,2023-08-08,2024-02-04,60,1,136.27
POL-8A209A7A,INV-93B88D02,Premium,2024-02-04,2024-08-02,30,2,136.27
POL-8A209A7A,INV-962B4D75,Adjustment,2024-08-02,2024-08-07,30,3,136.27
POL-36C40C99,INV-BD9F5074,Premium,2026-02-05,2026-08-04,90,1,1767.2
POL-36C40C99,INV-012E32AF,Premium,2026-08-04,2027-01-31,60,2,1767.2
POL-414BA055,INV-35512BF2,Adjustment,2022-11-14,2023-02-12,60,1,554.52
POL-414BA055,INV-CDD24658,Premium,2023-02-12,2023-05-13,30,2,554.52
POL-414BA055,INV-B52E1E4B,Premium,2023-05-13,2023-08-11,90,3,554.52
POL-414BA055,INV-F8910590,Refund,2023-08-11,2023-11-09,30,4,554.52
POL-414BA055,INV-D4695D6C,Premium,2023-11-09,2023-11-14,30,5,554.52
POL-89034C7A,INV-C3C1BAF0,Premium,2023-03-22,2023-09-18,30,1,1780.77
POL-89034C7A,INV-E3307607,Premium,2023-09-18,2024-03-16,90,2,1780.77
POL-89034C7A,INV-851460D2,Premium,2024-03-16,2024-03-21,30,3,1780.77
POL-01F71D0A,INV-5D10882B,Premium,2026-03-12,2026-04-11,30,1,1478.45
POL-01F71D0A,INV-165AFC9D,Premium,2026-04-11,2026-05-11,90,2,1478.45
POL-01F71D0A,INV-0FD2A7E6,Premium,2026-05-11,2026-06-10,30,3,1478.45
POL-01F71D0A,INV-77F3EFA5,Refund,2026-06-10,2026-07-10,90,4,1478.45
POL-01F71D0A,INV-5EC30DC4,Premium,2026-07-10,2026-08-09,30,5,1478.45
POL-D40775BD,INV-7D4AA34A,Adjustment,2024-10-26,2025-04-24,30,1,269.07
POL-D40775BD,INV-3B4AFE1F,Premium,2025-04-24,2025-10-21,30,2,269.07
POL-D40775BD,INV-1BFB543A,Premium,2025-10-21,2025-10-26,30,3,269.07
POL-836675CC,INV-97FFDB6B,Premium,2022-11-19,2023-05-18,90,1,379.7
POL-836675CC,INV-CBC692D4,Premium,2023-05-18,2023-11-14,30,2,379.7
POL-836675CC,INV-46D4B1AB,Premium,2023-11-14,2023-11-19,60,3,379.7
POL-87004BBC,INV-F0E643FA,Premium,2023-01-16,2023-02-15,90,1,851.03
POL-87004BBC,INV-445A6CFC,Premium,2023-02-15,2023-03-17,90,2,851.03
POL-87004BBC,INV-DD914777,Premium,2023-03-17,2023-04-16,90,3,851.03
POL-87004BBC,INV-9665D7BB,Premium,2023-04-16,2023-05-16,90,4,851.03
POL-87004BBC,INV-1CAA79DC,Premium,2023-05-16,2023-06-15,60,5,851.03
POL-4050CFCA,INV-38B3AB68,Premium,2024-04-06,2024-10-03,60,1,1186.55
POL-4050CFCA,INV-81CC9327,Premium,2024-10-03,2025-04-01,60,2,1186.55
POL-4050CFCA,INV-404B4D9F,Premium,2025-04-01,2025-04-06,60,3,1186.55
POL-B43BEF53,INV-1A7F43B0,Premium,2025-03-31,2025-04-30,30,1,1305.33
POL-B43BEF53,INV-FF5C3482,Premium,2025-04-30,2025-05-30,30,2,1305.33
POL-B43BEF53,INV-551548C9,Premium,2025-05-30,2025-06-29,60,3,1305.33
POL-B43BEF53,INV-D618C7B1,Premium,2025-06-29,2025-07-29,90,4,1305.33
POL-B43BEF53,INV-CECD6A20,Premium,2025-07-29,2025-08-28,60,5,1305.33
POL-B43BEF53,INV-9FFF9F1D,Premium,2025-08-28,2025-09-27,90,6,1305.33
POL-B43BEF53,INV-20A03A74,Premium,2025-09-27,2025-10-27,60,7,1305.33
POL-B43BEF53,INV-FC3613E2,Premium,2025-10-27,2025-11-26,60,8,1305.33
POL-B43BEF53,INV-68590E64,Premium,2025-11-26,2025-12-26,90,9,1305.33
POL-B43BEF53,INV-0B41A5C2,Premium,2025-12-26,2026-01-25,90,10,1305.33
POL-B43BEF53,INV-08AD4897,Premium,2026-01-25,2026-02-24,90,11,1305.33
POL-B43BEF53,INV-629C11F9,Premium,2026-02-24,2026-03-26,30,12,1305.33
POL-B43BEF53,INV-49E6B4B5,Premium,2026-03-26,2026-03-31,30,13,1305.33
POL-3EB9CEB6,INV-D715F8C0,Premium,2024-05-08,2024-08-06,60,1,791.76
POL-3EB9CEB6,INV-80FCEF3C,Premium,2024-08-06,2024-11-04,30,2,791.76
POL-3EB9CEB6,INV-DB297100,Premium,2024-11-04,2025-02-02,60,3,791.76
POL-3EB9CEB6,INV-F762804C,Premium,2025-02-02,2025-05-03,60,4,791.76
POL-8EBB9C46,INV-5B971C94,Premium,2025-10-03,2026-01-01,60,1,1720.18
POL-8EBB9C46,INV-CFB55E4A,Premium,2026-01-01,2026-04-01,30,2,1720.18
POL-8EBB9C46,INV-7BF25206,Premium,2026-04-01,2026-06-30,30,3,1720.18
POL-8EBB9C46,INV-32D2CB16,Premium,2026-06-30,2026-09-28,60,4,1720.18
POL-1958DB2B,INV-0C79AA43,Premium,2023-06-28,2023-07-28,90,1,1476.24
POL-1958DB2B,INV-95FA3681,Adjustment,2023-07-28,2023-08-27,90,2,1476.24
POL-1958DB2B,INV-22B262AD,Premium,2023-08-27,2023-09-26,30,3,1476.24
POL-1958DB2B,INV-7C46E3FF,Premium,2023-09-26,2023-10-26,90,4,1476.24
POL-1958DB2B,INV-29A2B1E4,Adjustment,2023-10-26,2023-11-25,60,5,1476.24
POL-1958DB2B,INV-AEE45B63,Adjustment,2023-11-25,2023-12-25,90,6,1476.24
POL-1958DB2B,INV-8225E6BF,Premium,2023-12-25,2024-01-24,60,7,1476.24
POL-1958DB2B,INV-0C887AF9,Premium,2024-01-24,2024-02-23,60,8,1476.24
POL-1958DB2B,INV-E06C1510,Premium,2024-02-23,2024-03-24,90,9,1476.24
POL-1958DB2B,INV-8F2F424B,Premium,2024-03-24,2024-04-23,90,10,1476.24
POL-1958DB2B,INV-D64645D8,Premium,2024-04-23,2024-05-23,30,11,1476.24
POL-1958DB2B,INV-0FCA5795,Premium,2024-05-23,2024-06-22,90,12,1476.24
POL-1958DB2B,INV-F4144969,Premium,2024-06-22,2024-06-27,60,13,1476.24
POL-BC9472A3,INV-5B006872,Premium,2024-07-25,2024-08-24,90,1,1067.45
POL-BC9472A3,INV-B91D49F1,Refund,2024-08-24,2024-09-23,90,2,1067.45
POL-BC9472A3,INV-822D0368,Premium,2024-09-23,2024-10-23,90,3,1067.45
POL-BC9472A3,INV-53D1D106,Premium,2024-10-23,2024-11-22,90,4,1067.45
POL-BC9472A3,INV-D32BC856,Adjustment,2024-11-22,2024-12-22,90,5,1067.45
POL-BC9472A3,INV-9A26153B,Premium,2024-12-22,2025-01-21,30,6,1067.45
POL-BC9472A3,INV-802047ED,Premium,2025-01-21,2025-02-20,60,7,1067.45
POL-BC9472A3,INV-F3826B44,Adjustment,2025-02-20,2025-03-22,60,8,1067.45
POL-BC9472A3,INV-2A3AE58D,Premium,2025-03-22,2025-04-21,30,9,1067.45
POL-4F49CA05,INV-744410E8,Premium,2022-01-20,2022-07-19,30,1,1054.07
POL-4F49CA05,INV-F3ADD30E,Premium,2022-07-19,2023-01-15,30,2,1054.07
POL-B0A9470E,INV-17312396,Premium,2022-05-31,2022-06-30,60,1,237.82
POL-B0A9470E,INV-CD3B6DA8,Premium,2022-06-30,2022-07-30,60,2,237.82
POL-B0A9470E,INV-13F9FE06,Premium,2022-07-30,2022-08-29,60,3,237.82
POL-B0A9470E,INV-0C91BE88,Premium,2022-08-29,2022-09-28,90,4,237.82
POL-B0A9470E,INV-536AA5E2,Premium,2022-09-28,2022-10-28,30,5,237.82
POL-B0A9470E,INV-9646254E,Premium,2022-10-28,2022-11-27,90,6,237.82
POL-B0A9470E,INV-919C2ACD,Premium,2022-11-27,2022-12-27,30,7,237.82
POL-B0A9470E,INV-F1BE17EC,Premium,2022-12-27,2023-01-26,90,8,237.82
POL-B0A9470E,INV-126C13A0,Premium,2023-01-26,2023-02-25,90,9,237.82
POL-B0A9470E,INV-D13AC2F5,Premium,2023-02-25,2023-03-27,60,10,237.82
POL-B0A9470E,INV-3417F0B9,Premium,2023-03-27,2023-04-26,90,11,237.82
