insurance_product,customer_id,policy_num,effective_start_date,effective_end_date,payment_frequency,policy_status,cancel_date
Commercial Property,CUST-56D6CA6E,POL-B43BEF53,2025-03-31,2026-03-31,Monthly,Expired,
Life,CUST-9D483C63,POL-3EB9CEB6,2024-05-08,2025-05-08,Quarterly,Cancelled,2025-04-30
Renters,CUST-5D763789,POL-8EBB9C46,2025-10-03,2026-10-03,Quarterly,Active,
Health,CUST-9A516985,POL-1958DB2B,2023-06-28,2024-06-27,Monthly,Expired,
Umbrella,CUST-21B43933,POL-BC9472A3,2024-07-25,2025-07-25,Monthly,Cancelled,2025-04-02
Commercial Property,CUST-21B43933,POL-4F49CA05,2022-01-20,2023-01-20,Semi-Annual,Cancelled,2022-12-10
Commercial Property,CUST-B40B9D33,POL-B0A9470E,2022-05-31,2023-05-31,Monthly,Expired,
Auto,CUST-DF0F93FF,POL-DB7F7FE1,2022-09-29,2023-09-29,Monthly,Cancelled,2023-06-24
Home,CUST-DF0F93FF,POL-2FDD2230,2024-01-27,2025-01-26,Quarterly,Cancelled,2024-09-18
Umbrella,CUST-4C3A3AFD,POL-0068CCEA,2025-06-06,2026-06-06,Semi-Annual,Expired,
Auto,CUST-4C3A3AFD,POL-58E85690,2024-12-19,2025-12-19,Semi-Annual,Expired,
Auto,CUST-728E568A,POL-9470573C,2025-09-20,2026-09-20,Monthly,Active,
Auto,CUST-728E568A,POL-1838A89C,2023-06-26,2024-06-25,Monthly,Expired,
Life,CUST-14F1B2CB,POL-640574D5,2023-07-12,2024-07-11,Semi-Annual,Expired,
Life,CUST-24738049,POL-C9C42BE1,2026-01-09,2027-01-09,Monthly,Active,
Health,CUST-D786F74B,POL-C1F825B9,2024-11-01,2025-11-01,Quarterly,Expired,
Auto,CUST-D786F74B,POL-64C1436A,2022-04-15,2023-04-15,Semi-Annual,Expired,
Auto,CUST-9C90D361,POL-FDA2761A,2023-07-21,2024-07-20,Monthly,Expired,
Umbrella,CUST-9C90D361,POL-45A0603A,2023-11-15,2024-11-14,Monthly,Expired,
Renters,CUST-2A16424D,POL-FDB56D99,2022-11-27,2023-11-27,Quarterly,Expired,
Renters,CUST-2A16424D,POL-0A53C138,2025-02-03,2026-02-03,Quarterly,Expired,
Auto,CUST-D73C89C8,POL-70EA7FB4,2022-08-18,2023-08-18,Semi-Annual,Expired,
Auto,CUST-54A8F9BA,POL-BF1D5D3C,2025-01-22,2026-01-22,Quarterly,Expired,
Home,CUST-2F151DFE,POL-623452AE,2024-05-30,2025-05-30,Monthly,Expired,
Umbrella,CUST-5C1BC210,POL-F86DB306,2024-01-17,2025-01-16,Monthly,Expired,
Home,CUST-5C1BC210,POL-9DABBAED,2024-01-03,2025-01-02,Semi-Annual,Expired,
Auto,CUST-083071A4,POL-D34A80B3,2025-09-27,2026-09-27,Quarterly,Active,
Renters,CUST-563733EB,POL-76A01E19,2025-06-25,2026-06-25,Monthly,Expired,
Umbrella,CUST-563733EB,POL-E316196B,2023-04-30,2024-04-29,Monthly,Expired,
Auto,CUST-76690096,POL-35706C0F,2024-04-24,2025-04-24,Monthly,Expired,
Life,CUST-7E507E69,POL-7731331E,2024-04-23,2025-04-23,Monthly,Cancelled,2024-11-26
Health,CUST-7E507E69,POL-3C460885,2025-12-07,2026-12-07,Monthly,Cancelled,2026-04-03
Home,CUST-BF16B3E6,POL-DEFB0A3B,2023-04-01,2024-03-31,Quarterly,Expired,
Life,CUST-BF16B3E6,POL-F028637A,2023-12-18,2024-12-17,Monthly,Expired,
Renters,CUST-A2B322D3,POL-3EE699CF,2022-02-18,2023-02-18,Monthly,Expired,
Life,CUST-CB2C181E,POL-61CBB264,2023-11-04,2024-11-03,Monthly,Expired,
Life,CUST-CB2C181E,POL-75B3B339,2023-07-26,2024-07-25,Semi-Annual,Expired,
Umbrella,CUST-131EA2B6,POL-34620F14,2025-10-23,2026-10-23,Semi-Annual,Active,
Auto,CUST-131EA2B6,POL-FB8C98F5,2023-11-10,2024-11-09,Monthly,Expired,
Commercial Property,CUST-2CFC30A2,POL-F482205D,2023-01-01,2024-01-01,Quarterly,Expired,
Auto,CUST-2CFC30A2,POL-FCF23E9E,2022-03-20,2023-03-20,Semi-Annual,Expired,
Renters,CUST-3D128368,POL-8B2484C6,2023-12-09,2024-12-08,Quarterly,Expired,
Commercial Property,CUST-3D128368,POL-AAFA923B,2024-06-12,2025-06-12,Semi-Annual,Expired,
Life,CUST-B4C0C24D,POL-205F5FDD,2024-02-28,2025-02-27,Monthly,Cancelled,2024-09-02
Commercial Property,CUST-8DCFB680,POL-B6693DE6,2022-01-04,2023-01-04,Semi-Annual,Expired,
Renters,CUST-8DCFB680,POL-293CDFB8,2025-11-07,2026-11-07,Semi-Annual,Active,
Health,CUST-5FFB2062,POL-B97B367E,2024-01-16,2025-01-15,Monthly,Expired,
Life,CUST-171C11C1,POL-43BFD43A,2025-06-30,2026-06-30,Semi-Annual,Expired,
Renters,CUST-171C11C1,POL-43D07F2D,2022-09-13,2023-09-13,Quarterly,Expired,
Life,CUST-2FAEBC02,POL-C151658B,2025-09-27,2026-09-27,Quarterly,Cancelled,2026-07-23
Commercial Property,CUST-2FAEBC02,POL-4E958D77,2025-11-28,2026-11-28,Monthly,Cancelled,2026-05-12
Renters,CUST-A49F8B06,POL-7D94D30B,2024-05-11,2025-05-11,Semi-Annual,Cancelled,2025-02-19
Commercial Property,CUST-5516584A,POL-3E6A15C1,2025-06-14,2026-06-14,Quarterly,Expired,
Umbrella,CUST-EBBB4F64,POL-B6E22C4B,2025-01-27,2026-01-27,Monthly,Expired,
Life,CUST-EBBB4F64,POL-BD2BC394,2023-09-15,2024-09-14,Monthly,Expired,
Commercial Property,CUST-39053A70,POL-CE6D2504,2025-04-02,2026-04-02,Semi-Annual,Expired,
Health,CUST-39053A70,POL-57068233,2023-10-22,2024-10-21,Quarterly,Expired,
Home,CUST-5A5732D7,POL-70E315A9,2025-10-15,2026-10-15,Semi-Annual,Active,
Umbrella,CUST-5A5732D7,POL-8AE59B8B,2024-08-27,2025-08-27,Semi-Annual,Expired,
Auto,CUST-05BD00CE,POL-62C4A78A,2025-09-11,2026-09-11,Quarterly,Expired,
Renters,CUST-1DBF13EF,POL-FF69BC37,2022-07-11,2023-07-11,Quarterly,Cancelled,2023-02-06
Home,CUST-1DBF13EF,POL-8E887B56,2023-04-06,2024-04-05,Monthly,Cancelled,2023-10-14
Commercial Property,CUST-0203891F,POL-F18DBCD5,2023-05-17,2024-05-16,Monthly,Cancelled,2024-04-14
Renters,CUST-12260A1B,POL-BBAE5B21,2024-04-28,2025-04-28,Semi-Annual,Expired,
Renters,CUST-12260A1B,POL-F2A5C51F,2023-02-03,2024-02-03,Semi-Annual,Expired,
Health,CUST-669D15C9,POL-09B3CBA5,2024-10-09,2025-10-09,Monthly,Expired,
Renters,CUST-669D15C9,POL-2B7E6E08,2022-10-30,2023-10-30,Semi-Annual,Expired,
Umbrella,CUST-F50043C1,POL-642179C2,2026-03-18,2027-03-18,Monthly,Active,
Umbrella,CUST-093391B5,POL-3D8E08B1,2023-03-25,2024-03-24,Semi-Annual,Cancelled,2023-09-21
Auto,CUST-093391B5,POL-662886B1,2024-11-26,2025-11-26,Semi-Annual,Cancelled,2025-10-19
Health,CUST-8BB4B64A,POL-41E9AF92,2022-09-06,2023-09-06,Monthly,Expired,
Commercial Property,CUST-41B4BFC1,POL-71419447,2025-09-29,2026-09-29,Semi-Annual,Active,
Life,CUST-41B4BFC1,POL-2F4AE49F,2025-05-04,2026-05-04,Quarterly,Expired,
Health,CUST-1BB9E847,POL-F58D8350,2025-01-27,2026-01-27,Monthly,Expired,
Umbrella,CUST-1BB9E847,POL-DDF95978,2026-03-04,2027-03-04,Quarterly,Active,
Umbrella,CUST-A3484F2D,POL-E860CA5D,2023-06-15,2024-06-14,Monthly,Expired,
Life,CUST-A3484F2D,POL-A12E625F,2025-07-29,2026-07-29,Semi-Annual,Expired,
Home,CUST-7F0F595E,POL-5E85F193,2025-07-07,2026-07-07,Quarterly,Expired,
Auto,CUST-7F0F595E,POL-EFB91DAC,2024-06-19,2025-06-19,Semi-Annual,Expired,
Life,CUST-F5799B4A,POL-33D09603,2023-04-26,2024-04-25,Quarterly,Expired,
Commercial Property,CUST-F5799B4A,POL-35F36C38,2023-10-17,2024-10-16,Monthly,Expired,
Health,CUST-AFE0F8A8,POL-6B0C1F12,2022-11-05,2023-11-05,Semi-Annual,Cancelled,2023-06-01
Home,CUST-298A0923,POL-21090648,2025-12-17,2026-12-17,Monthly,Active,
Life,CUST-DE76602E,POL-B2770E3E,2024-04-14,2025-04-14,Semi-Annual,Expired,
Health,CUST-DE76602E,POL-A005DEC4,2024-08-12,2025-08-12,Monthly,Expired,
Umbrella,CUST-62353833,POL-EF5ADAD5,2024-05-10,2025-05-10,Semi-Annual,Cancelled,2025-02-23
Health,CUST-14F19CE0,POL-1FDB67B8,2025-03-25,2026-03-25,Quarterly,Expired,
Life,CUST-60EDC6B4,POL-327DC383,2023-12-22,2024-12-21,Quarterly,Expired,
Renters,CUST-EECA013C,POL-6290DFC1,2025-01-07,2026-01-07,Semi-Annual,Expired,
Umbrella,CUST-EECA013C,POL-DE54F919,2025-01-23,2026-01-23,Semi-Annual,Expired,
Home,CUST-EA9D0B54,POL-D6194B36,2024-09-26,2025-09-26,Quarterly,Expired,
Auto,CUST-9238A57F,POL-A427CEBD,2024-09-21,2025-09-21,Quarterly,Expired,
Renters,CUST-9238A57F,POL-23057693,2023-11-20,2024-11-19,Semi-Annual,Expired,
Umbrella,CUST-89306B0C,POL-10E360D8,2026-01-23,2027-01-23,Quarterly,Cancelled,2026-06-04
Auto,CUST-89306B0C,POL-E97E162F,2022-09-19,2023-09-19,Quarterly,Cancelled,2023-09-17
Renters,CUST-2227BF7E,POL-94A80772,2022-06-21,2023-06-21,Quarterly,Expired,
Home,CUST-3626B705,POL-140478E4,2024-08-03,2025-08-03,Monthly,Expired,
Life,CUST-D450315E,POL-76219799,2024-02-16,2025-02-15,Monthly,Expired,
Life,CUST-D450315E,POL-D07D891F,2024-07-20,2025-07-20,Quarterly,Expired,
Life,CUST-FA9BC72F,POL-D69A329B,2023-07-24,2024-07-23,Monthly,Cancelled,2024-05-24
Renters,CUST-FA9BC72F,POL-304E1263,2024-08-21,2025-08-21,Semi-Annual,Cancelled,2024-11-28
Home,CUST-7DEDB29B,POL-ED643EE6,2023-12-18,2024-12-17,Semi-Annual,Expired,
Umbrella,CUST-A9EFCE57,POL-B4E663E7,2025-08-27,2026-08-27,Monthly,Cancelled,2025-12-15
Commercial Property,CUST-6A39AD20,POL-2565578E,2023-02-13,2024-02-13,Monthly,Cancelled,2023-05-24
Health,CUST-BFE855E6,POL-0D427E2F,2022-09-16,2023-09-16,Semi-Annual,Expired,
Home,CUST-2DA93914,POL-6247AD53,2025-03-01,2026-03-01,Quarterly,Expired,
Home,CUST-F9865472,POL-3CD534C8,2024-01-26,2025-01-25,Semi-Annual,Expired,
Renters,CUST-F9865472,POL-9B1ABCE2,2025-05-28,2026-05-28,Semi-Annual,Expired,
Life,CUST-8154ADB0,POL-F75F459B,2022-12-02,2023-12-02,Monthly,Expired,
Commercial Property,CUST-54DD30B6,POL-50E7004B,2023-10-01,2024-09-30,Semi-Annual,Expired,
Renters,CUST-9939F759,POL-DB745FB0,2024-03-23,2025-03-23,Monthly,Expired,
Commercial Property,CUST-9939F759,POL-65B599A4,2022-06-05,2023-06-05,Semi-Annual,Expired,
Renters,CUST-A4019304,POL-635AA20E,2022-07-28,2023-07-28,Quarterly,Expired,
Umbrella,CUST-690724ED,POL-52132DC5,2025-03-05,2026-03-05,Monthly,Expired,
Health,CUST-D1DFCA4E,POL-0FE59CE1,2024-12-27,2025-12-27,Semi-Annual,Expired,
Auto,CUST-D1DFCA4E,POL-912D669F,2024-01-29,2025-01-28,Semi-Annual,Expired,
Umbrella,CUST-8DBDCEAC,POL-8C0F8B4A,2022-01-26,2023-01-26,Quarterly,Cancelled,2022-11-27
Life,CUST-8DBDCEAC,POL-F0BCA24E,2022-08-05,2023-08-05,Semi-Annual,Cancelled,2023-06-12
Health,CUST-FD51D212,POL-C8B8D6ED,2025-12-19,2026-12-19,Monthly,Cancelled,2026-04-27
Commercial Property,CUST-FD51D212,POL-E40ED001,2026-02-11,2027-02-11,Semi-Annual,Cancelled,2026-07-20
Health,CUST-D464D8A6,POL-AC5317EC,2024-08-10,2025-08-10,Semi-Annual,Expired,
Life,CUST-D464D8A6,POL-1CCAF738,2025-04-28,2026-04-28,Quarterly,Expired,
Life,CUST-C95FC203,POL-D49808DA,2022-06-27,2023-06-27,Quarterly,Expired,
Health,CUST-3DFCD350,POL-8662B33A,2026-03-17,2027-03-17,Semi-Annual,Active,
Health,CUST-4BB58A0A,POL-5C031C44,2023-11-20,2024-11-19,Quarterly,Cancelled,2024-03-03
Home,CUST-4BB58A0A,POL-189665B3,2023-01-08,2024-01-08,Quarterly,Cancelled,2023-12-13
Commercial Property,CUST-375377AA,POL-6EB57814,2023-11-29,2024-11-28,Semi-Annual,Cancelled,2024-07-19
Commercial Property,CUST-375377AA,POL-E24F67B5,2023-07-20,2024-07-19,Monthly,Cancelled,2023-10-23
Renters,CUST-D3380BE6,POL-EF9F17B7,2023-05-10,2024-05-09,Quarterly,Expired,
Umbrella,CUST-A9775D55,POL-A7FD7D6F,2025-02-11,2026-02-11,Monthly,Expired,
Health,CUST-A9775D55,POL-6D2057C3,2025-11-15,2026-11-15,Semi-Annual,Active,
Umbrella,CUST-BF17CDEA,POL-E4288D33,2024-07-06,2025-07-06,Monthly,Expired,
Life,CUST-BF17CDEA,POL-F3BDEE7E,2022-07-10,2023-07-10,Monthly,Expired,
Home,CUST-A58721AD,POL-6E5CBAA4,2025-11-17,2026-11-17,Quarterly,Active,
Commercial Property,CUST-A58721AD,POL-AC8CFBA5,2025-09-21,2026-09-21,Quarterly,Active,
